Ресурсы                                                                                                                 | Сундуки         | Выход      | Дата               
----------------------------------------------------------------------------------------------------------------------- | --------------- | ---------- | -------------------
Камни o      +/- | Дерево _/`   +/- | Смола ≈      +/- | Медь :.      +/- | Ки @         +/- | Мощь *       +/- | Кр. ♦ | o   8   Ω   Δ   | Ур. Лок.   | День       Время   
15,669        =  | 23,638        =  | 296,498       -  | 26,903        =  | 2,986,989     +  |                  |       | 230 73  51  7   | 15* Пещеры | 02.08.2021 09:17:38
15,669        =  | 23,638        =  | 299,122       +  | 26,903        =  | 2,987,801     +  |                  |       | 322 47  28  3   | 15* Пещеры | 03.08.2021 15:20:37
15,669        =  | 23,638        =  | 301,548       +  | 26,903        =  | 2,988,450     +  |                  |       | 331 45  24  0   | 15* Грибы  | 04.08.2021 11:00:58
15,669        =  | 23,638        =  | 296,228       -  | 26,903        =  | 3,007,034     +  |                  |       | 251 86  56  7   | 15* Пещеры | 05.08.2021 20:56:49
15,669        =  | 23,638        =  | 299,154       +  | 26,903        =  | 3,007,430     +  |                  |       | 335 41  23  1   | 15* Пещеры | 06.08.2021 11:58:38
15,669        =  | 23,638        =  | 301,272       +  | 26,903        =  | 3,008,027     +  |                  |       | 338 44  17  1   | 15* Грибы  | 07.08.2021 10:12:25
15,669        =  | 23,638        =  | 295,952       -  | 26,903        =  | 3,026,365     +  |                  |       | 264 71  61  4   | 15* Пещеры | 08.08.2021 09:43:55
15,669        =  | 23,638        =  | 300,265       +  | 26,903        =  | 3,034,537     +  |                  |       | 334 42  19  5   | 15* Грибы  | 09.08.2021 10:36:39
15,669        =  | 23,638        =  | 294,945       -  | 26,903        =  | 3,060,248     +  |                  |       | 264 86  46  4   | 15* Пещеры | 09.08.2021 23:27:04
15,669        =  | 23,638        =  | 297,783       +  | 26,903        =  | 3,059,723     -  |                  |       | 333 39  27  1   | 15* Пещеры | 10.08.2021 10:40:29
15,669        =  | 23,638        =  | 300,191       +  | 26,903        =  | 3,066,589     +  |                  |       | 335 39  25  1   | 15* Грибы  | 10.08.2021 20:34:42
15,669        =  | 23,638        =  | 294,871       -  | 26,903        =  | 3,082,274     +  |                  |       | 260 81  54  5   | 15* Пещеры | 11.08.2021 11:30:06
15,669        =  | 23,638        =  | 297,250       +  | 26,903        =  | 3,083,239     +  |                  |       | 322 49  26  3   | 15* Пещеры | 12.08.2021 10:34:29
15,669        =  | 23,638        =  | 299,751       +  | 26,903        =  | 3,091,219     +  |                  |       | 337 42  21  0   | 15* Пещеры | 12.08.2021 21:35:50
15,669        =  | 23,638        =  | 301,609       +  | 26,903        =  | 3,090,796     -  |                  |       | 334 40  25  1   | 15* Грибы  | 13.08.2021 09:55:29
15,669        =  | 23,638        =  | 296,289       -  | 26,903        =  | 3,108,436     +  |                  |       | 283 79  36  2   | 15* Пещеры | 14.08.2021 10:34:22
15,669        =  | 23,638        =  | 299,054       +  | 26,903        =  | 3,115,838     +  |                  |       | 325 48  24  3   | 15* Пещеры | 14.08.2021 22:17:09
15,669        =  | 23,638        =  | 301,815       +  | 26,903        =  | 3,115,139     -  |                  |       | 328 43  25  4   | 15* Грибы  | 15.08.2021 11:01:58
15,669        =  | 23,638        =  | 296,495       -  | 26,903        =  | 3,131,082     +  |                  |       | 270 86  36  8   | 15* Пещеры | 16.08.2021 02:11:52
15,669        =  | 23,638        =  | 299,159       +  | 26,903        =  | 3,139,999     +  |                  |       | 332 48  19  1   | 15* Пещеры | 16.08.2021 11:08:23
15,669        =  | 23,638        =  | 302,168       +  | 26,903        =  | 3,148,530     +  |                  |       | 330 50  16  4   | 15* Грибы  | 16.08.2021 22:49:41
15,669        =  | 23,638        =  | 296,848       -  | 26,903        =  | 3,165,281     +  |                  |       | 254 95  48  3   | 15* Пещеры | 17.08.2021 20:16:40
15,669        =  | 23,638        =  | 299,076       +  | 26,903        =  | 3,165,941     +  |                  |       | 328 43  26  3   | 15* Пещеры | 18.08.2021 10:26:50
15,669        =  | 23,638        =  | 302,039       +  | 26,903        =  | 3,173,075     +  |                  |       | 41  2   1   0   | 15* Грибы  | 18.08.2021 20:14:33
15,669        =  | 23,638        =  | 296,719       -  | 26,903        =  | 3,189,320     +  |                  |       | 258 89  50  3   | 15* Пещеры | 19.08.2021 10:20:37
