Ресурсы                                                                                                                 | Сундуки         | Выход      | Дата               
----------------------------------------------------------------------------------------------------------------------- | --------------- | ---------- | -------------------
Камни o      +/- | Дерево _/`   +/- | Смола ≈      +/- | Медь :.      +/- | Ки @         +/- | Мощь *       +/- | Кр. ♦ | o   8   Ω   Δ   | Ур. Лок.   | День       Время   
26,785        =  | 24,553        =  | 562,667       +  | 26,972        =  | 7,077,442     +  |                  |       | 30  5   1   0   | 15* Залы   | 16.10.2021 18:59:20
26,785        =  | 24,553        =  | 611,005       +  | 26,972        =  | 7,619,351     +  |                  |       | 1   1   2   0   | 11* Плато  | 16.10.2021 19:11:41
26,894        +  | 24,553        =  | 610,896       -  | 26,972        =  | 7,619,500     +  |                  |       | 2   3   1   0   | 11* Плато  | 16.10.2021 19:32:03
29,023        +  | 24,553        =  | 608,560       -  | 26,972        =  | 7,623,003     +  |                  |       | 9   87  28  4   | 11* Плато  | 17.10.2021 02:16:12
31,889        +  | 24,553        =  | 604,983       -  | 26,972        =  | 7,627,396     +  |                  |       | 10  133 41  12  | 11* Плато  | 17.10.2021 12:34:38
32,131        +  | 24,553        =  | 629,617       +  | 26,972        =  | 7,881,258     +  |                  |       | 3   1   0   0   | 11* Плато  | 17.10.2021 13:22:17
33,522        +  | 24,553        =  | 628,140       -  | 26,972        =  | 7,883,055     +  |                  |       | 3   46  14  3   | 11* Плато  | 17.10.2021 17:46:45
38,514        +  | 24,553        =  | 622,775       -  | 26,972        =  | 7,883,669     +  |                  |       | 13  196 75  10  | 11* Плато  | 18.10.2021 09:13:27
47,465        +  | 24,553        =  | 625,367       +  | 26,972        =  | 8,022,953     +  |                  |       | 2   0   0   0   | 11* Плато  | 19.10.2021 16:46:40
49,416        +  | 24,553        =  | 623,469       -  | 26,972        =  | 8,025,449     +  |                  |       | 7   67  28  2   | 11* Плато  | 19.10.2021 22:15:17
53,141        +  | 24,553        =  | 619,783       -  | 26,972        =  | 8,023,836     -  |                  |       | 15  127 53  7   | 11* Плато  | 20.10.2021 08:53:18
55,134        +  | 24,553        =  | 617,283       -  | 26,972        =  | 8,026,890     +  |                  |       | 8   87  36  6   | 11* Плато  | 20.10.2021 16:07:51
57,501        +  | 24,553        =  | 615,002       -  | 26,972        =  | 8,030,127     +  |                  |       | 8   84  28  5   | 11* Плато  | 20.10.2021 22:42:36
61,463        +  | 24,553        =  | 611,389       -  | 26,972        =  | 8,027,037     -  |                  |       | 8   123 55  12  | 11* Плато  | 21.10.2021 09:08:15
64,419        +  | 24,553        =  | 608,579       -  | 26,972        =  | 8,031,348     +  |                  |       | 7   103 39  5   | 11* Плато  | 21.10.2021 17:14:41
69,567        +  | 24,553        =  | 603,378       -  | 26,972        =  | 8,031,373     +  |                  |       | 12  191 72  10  | 11* Плато  | 22.10.2021 08:12:41
72,776        +  | 24,553        =  | 599,783       -  | 26,972        =  | 8,035,753     +  |                  |       | 10  140 41  6   | 11* Плато  | 22.10.2021 18:33:02
79,276        +  | 24,553        =  | 606,417       +  | 26,972        =  | 8,117,611     +  |                  |       | 17  200 72  13  | 11* Плато  | 23.10.2021 11:49:21
85,628        +  | 24,553        =  | 599,308       -  | 26,994        +  | 8,121,025     +  |                  |       | 8   159 66  5   | 11* Плато  | 24.10.2021 10:38:50
88,650        +  | 24,553        =  | 596,042       -  | 26,994        =  | 8,125,533     +  |                  |       | 8   118 48  5   | 11* Плато  | 24.10.2021 20:02:14
94,659        +  | 24,553        =  | 600,562       +  | 26,994        =  | 8,244,091     +  |                  |       | 17  224 71  8   | 11* Плато  | 25.10.2021 12:56:57
98,166        +  | 24,553        =  | 596,894       -  | 26,994        =  | 8,253,194     +  |                  |       | 14  127 54  6   | 11* Плато  | 25.10.2021 23:46:41
104,644       +  | 24,553        =  | 590,598       -  | 26,994        =  | 8,253,864     +  |                  |       | 5   72  24  8   | 11* Плато  | 26.10.2021 17:57:33
110,650       +  | 24,553        =  | 584,448       -  | 26,994        =  | 8,253,361     -  |                  |       | 21  214 90  12  | 11* Плато  | 27.10.2021 11:38:42
116,530       +  | 24,553        =  | 577,148       -  | 26,994        =  | 8,256,120     +  |                  |       | 21  277 92  10  | 11* Плато  | 28.10.2021 09:41:35
116,584       +  | 24,553        =  | 577,094       -  | 26,994        =  | 8,268,038     +  |                  |       | 220 81  39  10  | 15* Залы   | 28.10.2021 17:05:35
116,700       +  | 24,553        =  | 577,090       -  | 26,994        =  | 8,276,200     +  |                  |       | 151 68  21  6   | 15* Залы   | 28.10.2021 22:19:49
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,273,809     -  |                  |       | 82  27  14  3   | 15* Залы   | 29.10.2021 00:56:34
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,289,072     +  |                  |       | 259 79  41  11  | 15* Залы   | 29.10.2021 09:58:53
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,299,694     +  |                  |       | 197 74  28  5   | 15* Залы   | 29.10.2021 16:13:26
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,303,531     +  |                  |       | 77  24  16  1   | 15* Залы   | 29.10.2021 18:40:06
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,309,476     +  |                  |       | 75  49  25  3   | 15* Залы   | 29.10.2021 21:49:47
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,317,857     +  |                  |       | 243 108 43  6   | 15* Залы   | 30.10.2021 11:46:17
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,326,625     +  |                  |       | 151 67  24  6   | 15* Залы   | 30.10.2021 16:52:46
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,336,436     +  |                  |       | 194 77  33  6   | 15* Залы   | 30.10.2021 23:16:35
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,342,464     +  |                  |       | 234 102 52  12  | 15* Залы   | 31.10.2021 12:25:28
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,351,487     +  |                  |       | 172 83  31  2   | 15* Залы   | 31.10.2021 18:21:30
116,700       =  | 24,553        =  | 577,090       =  | 26,994        =  | 8,358,150     +  |                  |       | 105 55  27  3   | 15* Залы   | 31.10.2021 22:15:54
116,700       =  | 24,553        =  | 577,117       +  | 26,994        =  | 8,373,400     +  |                  |       | 273 84  36  7   | 11* Плато  | 01.11.2021 11:44:51
123,433       +  | 24,553        =  | 569,843       -  | 27,022        +  | 8,367,897     -  |                  |       | 25  251 99  21  | 11* Плато  | 02.11.2021 12:01:16
125,431       +  | 24,611        +  | 567,600       -  | 28,517        +  | 8,477,930     +  |                  |       | 6   91  31  2   | 11* Плато  | 03.11.2021 20:08:06
133,466       +  | 24,611        =  | 558,584       -  | 28,517        =  | 8,482,105     +  |                  |       | 9   132 40  9   | 11* Плато  | 04.11.2021 22:15:18
135,027       +  | 24,611        =  | 557,051       -  | 28,517        =  | 8,476,935     -  |                  |       | 1   58  21  4   | 11* Плато  | 05.11.2021 02:43:10
138,038       +  | 24,611        =  | 554,168       -  | 28,517        =  | 8,480,520     +  |                  |       | 15  102 36  5   | 11* Плато  | 05.11.2021 11:02:32
139,820       +  | 24,611        =  | 551,924       -  | 28,517        =  | 8,483,695     +  |                  |       | 4   82  32  5   | 11* Плато  | 05.11.2021 17:30:50
147,285       +  | 24,611        =  | 545,245       -  | 28,517        =  | 8,485,011     +  |                  |       | 21  252 84  9   | 11* Плато  | 06.11.2021 12:44:52
151,314       +  | 24,611        =  | 541,030       -  | 28,517        =  | 8,483,206     -  |                  |       | 10  156 61  4   | 11* Плато  | 07.11.2021 00:53:39
156,013       +  | 24,611        =  | 536,906       -  | 28,517        =  | 8,489,213     +  |                  |       | 17  146 55  8   | 11* Плато  | 07.11.2021 12:45:01
161,812       +  | 24,611        =  | 530,117       -  | 28,517        =  | 8,490,129     +  |                  |       | 19  243 98  12  | 11* Плато  | 08.11.2021 08:17:36
166,750       +  | 24,611        =  | 524,405       -  | 28,517        =  | 8,491,572     +  |                  |       | 19  208 70  16  | 11* Плато  | 09.11.2021 00:43:44
169,372       +  | 24,611        =  | 521,796       -  | 28,517        =  | 8,495,416     +  |                  |       | 6   91  39  7   | 11* Плато  | 09.11.2021 08:16:40
172,570       +  | 24,611        =  | 518,639       -  | 28,517        =  | 8,499,913     +  |                  |       | 12  105 50  6   | 11* Плато  | 09.11.2021 17:21:07
174,918       +  | 24,611        =  | 516,395       -  | 28,517        =  | 8,502,762     +  |                  |       | 9   74  36  4   | 11* Плато  | 09.11.2021 23:50:13
177,677       +  | 24,611        =  | 513,295       -  | 28,517        =  | 8,499,443     -  |                  |       | 11  102 46  7   | 11* Плато  | 10.11.2021 08:48:42
184,432       +  | 24,611        =  | 504,966       -  | 28,517        =  | 8,503,646     +  |                  |       | 7   128 52  3   | 11* Плато  | 11.11.2021 08:55:04
192,075       +  | 24,611        =  | 497,666       -  | 28,517        =  | 8,505,314     +  |                  |       | 24  256 103 17  | 11* Плато  | 12.11.2021 08:27:59
197,337       +  | 24,611        =  | 493,017       -  | 28,610        +  | 8,511,591     +  |                  |       | 7   70  18  2   | 11* Плато  | 12.11.2021 22:59:02
201,794       +  | 24,611        =  | 488,644       -  | 28,610        =  | 8,509,520     -  |                  |       | 11  168 54  6   | 11* Плато  | 13.11.2021 11:31:49
209,936       +  | 24,611        =  | 481,324       -  | 28,610        =  | 8,513,445     +  |                  |       | 21  263 106 10  | 11* Плато  | 14.11.2021 09:33:33
213,639       +  | 24,611        =  | 477,994       -  | 28,610        =  | 8,518,631     +  |                  |       | 7   126 44  5   | 11* Плато  | 14.11.2021 19:07:09
216,737       +  | 24,611        =  | 475,475       -  | 28,624        +  | 8,511,501     -  |                  |       | 12  167 63  5   | 11* Плато  | 15.11.2021 08:18:44
218,973       +  | 24,611        =  | 473,741       -  | 28,624        =  | 8,511,613     -  |                  |       | 11  105 47  7   | 11* Плато  | 15.11.2021 16:57:43
220,870       +  | 24,611        =  | 472,191       -  | 28,624        =  | 8,512,728     +  |                  |       | 6   90  53  3   | 11* Плато  | 16.11.2021 00:42:58
220,870       =  | 24,611        =  | 472,191       =  | 31,166        +  | 8,526,403     +  |                  |       | 250 31  60  5   | 15* Шахты  | 16.11.2021 08:18:54
220,870       =  | 24,611        =  | 472,191       =  | 34,177        +  | 8,540,428     +  |                  |       | 265 56  73  6   | 15* Шахты  | 16.11.2021 18:03:22
220,870       =  | 24,611        =  | 472,191       =  | 36,304        +  | 8,544,816     +  |                  |       | 193 22  71  0   | 15* Шахты  | 17.11.2021 00:13:24
220,870       =  | 24,611        =  | 472,191       =  | 38,508        +  | 8,559,680     +  |                  |       | 256 42  65  7   | 15* Шахты  | 17.11.2021 08:11:28
220,870       =  | 24,611        =  | 472,191       =  | 41,403        +  | 8,575,571     +  |                  |       | 288 37  61  14  | 15* Шахты  | 17.11.2021 17:18:00
220,870       =  | 24,611        =  | 472,191       =  | 42,575        +  | 8,584,161     +  |                  |       | 147 20  41  6   | 15* Шахты  | 17.11.2021 21:55:12
220,870       =  | 24,611        =  | 472,191       =  | 42,773        +  | 8,585,365     +  |                  |       | 25  3   5   1   | 15* Шахты  | 17.11.2021 22:41:33
220,870       =  | 24,611        =  | 472,191       =  | 45,630        +  | 8,592,417     +  |                  |       | 281 39  72  8   | 15* Шахты  | 18.11.2021 08:24:34
220,870       =  | 24,611        =  | 472,191       =  | 47,952        +  | 8,608,583     +  |                  |       | 276 30  68  6   | 15* Шахты  | 18.11.2021 16:36:08
220,870       =  | 24,611        =  | 472,191       =  | 48,839        +  | 8,613,459     +  |                  |       | 96  13  22  1   | 15* Шахты  | 18.11.2021 19:28:50
220,957       +  | 24,611        =  | 471,951       -  | 50,569        +  | 8,158,883     -  |                  |       | 259 38  69  6   | 15* Шахты  | 19.11.2021 08:22:27
220,957       =  | 24,611        =  | 471,951       =  | 53,215        +  | 8,172,442     +  |                  |       | 283 35  79  3   | 15* Шахты  | 19.11.2021 17:27:55
220,957       =  | 24,611        =  | 471,951       =  | 54,187        +  | 8,178,037     +  |                  |       | 87  14  24  1   | 15* Шахты  | 19.11.2021 20:12:29
220,957       =  | 24,611        =  | 471,951       =  | 56,958        +  | 8,184,844     +  |                  |       | 265 49  74  12  | 15* Шахты  | 20.11.2021 10:31:31
220,957       =  | 24,611        =  | 471,951       =  | 58,758        +  | 8,195,714     +  |                  |       | 156 34  55  5   | 15* Шахты  | 20.11.2021 15:55:28
221,087       +  | 24,613        +  | 471,861       -  | 60,469        +  | 8,118,096     -  |                  |       | 148 16  38  2   | 15* Шахты  | 21.11.2021 00:49:44
221,087       =  | 24,613        =  | 471,861       =  | 62,644        +  | 8,135,429     +  |                  |       | 293 30  66  11  | 15* Шахты  | 21.11.2021 11:45:25
221,087       =  | 24,613        =  | 471,861       =  | 63,111        +  | 8,138,104     +  |                  |       | 53  12  14  1   | 15* Шахты  | 21.11.2021 13:30:41
221,087       =  | 24,613        =  | 471,861       =  | 65,799        +  | 8,153,551     +  |                  |       | 245 47  66  4   | 15* Шахты  | 21.11.2021 21:18:48
221,087       =  | 24,613        =  | 471,861       =  | 68,319        +  | 8,162,916     +  |                  |       | 275 47  69  7   | 15* Шахты  | 22.11.2021 08:23:11
221,087       =  | 24,613        =  | 471,861       =  | 71,301        +  | 8,179,904     +  |                  |       | 285 31  65  9   | 15* Шахты  | 22.11.2021 16:48:58
221,087       =  | 24,613        =  | 471,861       =  | 72,561        +  | 8,186,773     +  |                  |       | 106 21  39  0   | 15* Шахты  | 22.11.2021 20:24:57
221,087       =  | 24,613        =  | 471,861       =  | 75,556        +  | 6,904,627     -  |                  |       | 262 45  86  7   | 15* Шахты  | 23.11.2021 08:15:58
221,087       =  | 24,613        =  | 471,861       =  | 77,709        +  | 6,919,323     +  |                  |       | 272 38  71  15  | 15* Шахты  | 23.11.2021 16:48:21
221,087       =  | 24,613        =  | 471,861       =  | 79,003        +  | 6,927,045     +  |                  |       | 121 19  34  4   | 15* Шахты  | 23.11.2021 20:39:51
221,087       =  | 24,613        =  | 471,861       =  | 79,539        +  | 6,930,726     +  |                  |       | 64  11  19  0   | 11* Плато  | 23.11.2021 22:42:53
223,275       +  | 24,613        =  | 470,900       -  | 79,539        =  | 6,928,359     -  |                  |       | 10  137 52  10  | 11* Плато  | 24.11.2021 08:16:06
227,819       +  | 24,613        =  | 469,272       -  | 79,539        =  | 6,930,325     +  |                  |       | 15  239 89  11  | 11* Плато  | 25.11.2021 00:23:35
229,519       +  | 24,613        =  | 468,490       -  | 79,539        =  | 6,934,982     +  |                  |       | 9   120 33  8   | 11* Плато  | 25.11.2021 08:10:30
231,435       +  | 24,613        =  | 467,621       -  | 79,539        =  | 6,939,833     +  |                  |       | 14  120 54  1   | 11* Плато  | 25.11.2021 16:47:18
233,162       +  | 24,613        =  | 466,941       -  | 79,539        =  | 6,943,962     +  |                  |       | 7   100 35  6   | 11* Плато  | 25.11.2021 23:31:32
235,304       +  | 24,613        =  | 466,054       -  | 79,539        =  | 6,941,973     -  |                  |       | 14  135 40  4   | 11* Плато  | 26.11.2021 08:20:25
237,573       +  | 24,613        =  | 465,190       -  | 79,539        =  | 6,946,747     +  |                  |       | 8   124 48  8   | 11* Плато  | 26.11.2021 16:55:36
238,392       +  | 24,613        =  | 464,822       -  | 79,539        =  | 6,948,952     +  |                  |       | 3   52  20  5   | 11* Плато  | 26.11.2021 20:36:48
240,923       +  | 24,558        -  | 463,434       -  | 79,339        -  | 6,948,558     -  |                  |       | 21  174 75  8   | 11* Плато  | 27.11.2021 10:12:07
241,172       +  | 24,558        =  | 463,306       -  | 79,339        =  | 6,949,196     +  |                  |       | 2   22  3   1   | 11* Плато  | 27.11.2021 11:30:12
242,692       +  | 24,558        =  | 462,750       -  | 79,339        =  | 6,952,133     +  |                  |       | 6   77  34  4   | 11* Плато  | 27.11.2021 17:03:16
246,581       +  | 24,578        +  | 460,988       -  | 79,289        -  | 6,943,651     -  |                  |       | 22  253 92  11  | 11* Плато  | 28.11.2021 10:38:23
249,096       +  | 24,578        =  | 460,105       -  | 79,289        =  | 6,948,463     +  |                  |       | 11  122 54  5   | 11* Плато  | 28.11.2021 19:22:49
249,821       +  | 24,578        =  | 459,788       -  | 79,289        =  | 6,950,416     +  |                  |       | 4   40  23  2   | 11* Плато  | 28.11.2021 22:33:43
251,797       +  | 24,578        =  | 458,804       -  | 79,289        =  | 6,948,068     -  |                  |       | 9   141 59  5   | 11* Плато  | 29.11.2021 08:19:01
253,762       +  | 24,578        =  | 457,843       -  | 79,289        =  | 6,954,011     +  |                  |       | 5   144 50  10  | 11* Плато  | 29.11.2021 17:51:07
256,716       +  | 24,578        =  | 456,385       -  | 79,289        =  | 6,955,608     +  |                  |       | 14  207 85  11  | 11* Плато  | 30.11.2021 08:17:26
258,826       +  | 24,578        =  | 455,502       -  | 79,289        =  | 6,960,790     +  |                  |       | 7   131 46  8   | 11* Плато  | 30.11.2021 17:02:05
260,685       +  | 24,578        =  | 454,831       -  | 79,289        =  | 6,964,238     +  |                  |       | 9   86  43  8   | 11* Плато  | 30.11.2021 23:43:04
262,566       +  | 24,578        =  | 454,022       -  | 79,289        =  | 6,961,212     -  |                  |       | 11  121 41  3   | 11* Плато  | 01.12.2021 07:45:21
265,794       +  | 24,578        =  | 452,744       -  | 79,289        =  | 6,967,262     +  |                  |       | 21  182 65  10  | 11* Плато  | 01.12.2021 20:26:18
268,572       +  | 24,578        =  | 461,566       +  | 79,279        -  | 7,086,677     +  |                  |       | 8   164 71  9   | 11* Плато  | 02.12.2021 08:21:27
270,937       +  | 24,578        =  | 460,545       -  | 79,279        =  | 7,092,538     +  |                  |       | 9   144 58  11  | 11* Плато  | 02.12.2021 18:28:58
273,950       +  | 24,578        =  | 459,152       -  | 79,279        =  | 7,098,194     +  |                  |       | 10  114 41  8   | 11* Плато  | 03.12.2021 08:22:27
277,349       +  | 24,578        =  | 457,966       -  | 79,279        =  | 7,112,836     +  |                  |       | 16  181 53  8   | 11* Плато  | 03.12.2021 20:09:24
281,518       +  | 24,578        =  | 456,439       -  | 79,279        =  | 7,121,578     +  |                  |       | 14  232 76  10  | 11* Плато  | 04.12.2021 11:18:26
284,007       +  | 24,578        =  | 455,367       -  | 79,370        +  | 7,133,640     +  |                  |       | 8   120 49  3   | 11* Плато  | 04.12.2021 21:43:49
287,703       +  | 24,578        =  | 453,960       -  | 79,370        =  | 7,141,674     +  |                  |       | 14  196 85  11  | 11* Плато  | 05.12.2021 11:40:20
289,007       +  | 24,578        =  | 453,477       -  | 79,370        =  | 7,146,262     +  |                  |       | 75  24  6   0   | 11* Плато  | 05.12.2021 16:29:55
291,020       +  | 24,578        =  | 452,769       -  | 79,370        =  | 7,146,110     -  |                  |       | 5   100 41  8   | 11* Плато  | 06.12.2021 00:01:17
292,735       +  | 24,578        =  | 451,931       -  | 79,350        -  | 7,152,691     +  |                  |       | 8   121 42  7   | 11* Плато  | 06.12.2021 08:15:48
294,862       +  | 24,578        =  | 451,044       -  | 79,350        =  | 7,157,932     +  |                  |       | 10  129 48  6   | 11* Плато  | 06.12.2021 17:03:01
298,034       +  | 24,578        =  | 449,439       -  | 79,350        =  | 7,158,737     +  |                  |       | 12  232 94  11  | 11* Плато  | 07.12.2021 08:57:21
300,514       +  | 24,578        =  | 448,391       -  | 79,350        =  | 7,165,127     +  |                  |       | 9   153 56  10  | 11* Плато  | 07.12.2021 19:22:02
303,118       +  | 24,578        =  | 447,076       -  | 79,350        =  | 7,164,564     -  |                  |       | 14  197 67  8   | 11* Плато  | 08.12.2021 08:23:56
305,965       +  | 24,578        =  | 445,761       -  | 79,350        =  | 7,171,979     +  |                  |       | 19  183 77  7   | 11* Плато  | 08.12.2021 21:25:43
309,275       +  | 24,578        =  | 444,469       -  | 79,350        =  | 7,171,840     -  |                  |       | 9   194 72  6   | 11* Плато  | 09.12.2021 10:14:02
313,978       +  | 24,578        =  | 442,629       -  | 79,350        =  | 7,173,370     +  |                  |       | 16  273 100 11  | 11* Плато  | 10.12.2021 17:19:07
317,844       +  | 24,578        =  | 440,849       -  | 79,350        =  | 7,174,399     +  |                  |       | 23  259 93  12  | 11* Плато  | 11.12.2021 10:57:26
320,666       +  | 24,578        =  | 439,681       -  | 79,350        =  | 7,180,439     +  |                  |       | 18  170 57  9   | 11* Плато  | 11.12.2021 22:31:22
323,612       +  | 24,578        =  | 438,403       -  | 79,350        =  | 7,180,791     +  |                  |       | 11  175 81  11  | 11* Плато  | 12.12.2021 11:11:17
326,257       +  | 24,578        =  | 437,281       -  | 79,350        =  | 7,186,878     +  |                  |       | 18  161 56  9   | 11* Плато  | 12.12.2021 22:21:20
328,963       +  | 24,578        =  | 435,938       -  | 79,350        =  | 7,187,225     +  |                  |       | 13  184 87  8   | 11* Плато  | 13.12.2021 11:41:54
330,859       +  | 24,578        =  | 435,216       -  | 79,350        =  | 7,191,183     +  |                  |       | 4   110 36  7   | 11* Плато  | 13.12.2021 18:54:08
334,781       +  | 24,578        =  | 435,004       -  | 79,220        -  | 7,173,423     -  |                  |       | 12  232 92  9   | 11* Плато  | 14.12.2021 10:35:09
337,936       +  | 24,578        =  | 434,864       -  | 79,220        =  | 7,180,908     +  |                  |       | 13  181 77  9   | 11* Плато  | 14.12.2021 22:01:20
340,407       +  | 24,578        =  | 434,725       -  | 79,220        =  | 7,180,784     -  |                  |       | 16  189 59  14  | 11* Плато  | 15.12.2021 09:22:46
342,474       +  | 24,660        +  | 434,682       -  | 78,910        -  | 7,188,363     +  |                  |       | 10  113 54  8   | 12* Плато  | 15.12.2021 21:23:03
345,342       +  | 24,660        =  | 434,682       =  | 78,910        =  | 7,188,847     +  |                  |       | 9   193 89  10  | 12* Плато  | 16.12.2021 09:57:31
346,626       +  | 24,660        =  | 434,682       =  | 78,910        =  | 7,193,387     +  |                  |       | 6   121 39  7   | 12* Плато  | 16.12.2021 17:10:51
350,233       +  | 24,660        =  | 434,682       =  | 78,910        =  | 7,193,847     +  |                  |       | 11  251 97  12  | 12* Плато  | 17.12.2021 08:40:15
351,627       +  | 24,660        =  | 434,682       =  | 78,910        =  | 7,199,274     +  |                  |       | 11  117 71  3   | 12* Плато  | 17.12.2021 17:06:46
351,867       +  | 24,660        =  | 434,682       =  | 78,910        =  | 7,200,002     +  |                  |       | 2   12  14  0   | 12* Плато  | 17.12.2021 18:18:47
355,543       +  | 24,688        +  | 434,682       =  | 78,910        =  | 7,202,843     +  |                  |       | 9   173 57  12  | 12* Плато  | 18.12.2021 10:15:25
359,406       +  | 25,058        +  | 434,662       -  | 78,850        -  | 7,204,841     +  |                  |       | 16  243 126 15  | 12* Плато  | 19.12.2021 11:16:54
363,430       +  | 25,058        =  | 434,662       =  | 78,850        =  | 7,208,114     +  |                  |       | 10  270 102 18  | 12* Плато  | 20.12.2021 08:13:27
364,889       +  | 25,058        =  | 434,662       =  | 78,850        =  | 7,212,978     +  |                  |       | 11  128 58  9   | 12* Плато  | 20.12.2021 16:50:04
368,427       +  | 25,058        =  | 434,662       =  | 78,850        =  | 7,213,869     +  |                  |       | 17  229 109 17  | 12* Плато  | 21.12.2021 08:20:18
370,541       +  | 25,058        =  | 434,662       =  | 78,850        =  | 7,220,920     +  |                  |       | 6   188 76  8   | 12* Плато  | 21.12.2021 19:55:29
372,517       +  | 25,058        =  | 434,662       =  | 78,867        +  | 7,223,501     +  |                  |       | 16  168 79  8   | 12* Плато  | 22.12.2021 07:41:09
374,354       +  | 25,058        =  | 434,662       =  | 78,867        =  | 7,229,026     +  |                  |       | 11  116 60  7   | 12* Плато  | 22.12.2021 15:46:48
377,952       +  | 25,058        =  | 434,662       =  | 78,867        =  | 7,231,096     +  |                  |       | 11  248 130 11  | 12* Плато  | 23.12.2021 09:10:41
379,484       +  | 25,058        =  | 434,662       =  | 78,867        =  | 7,235,255     +  |                  |       | 5   111 54  8   | 12* Плато  | 23.12.2021 16:37:21
383,141       +  | 25,058        =  | 434,662       =  | 78,867        =  | 7,236,689     +  |                  |       | 12  230 118 18  | 12* Плато  | 24.12.2021 08:22:19
386,307       +  | 25,058        =  | 434,662       =  | 78,867        =  | 7,237,808     +  |                  |       | 15  228 121 11  | 12* Плато  | 25.12.2021 00:01:17
386,307       =  | 25,058        =  | 431,122       -  | 78,867        =  | 7,249,871     +  |                  |       | 269 79  44  8   | 15* Хребет | 25.12.2021 11:14:48
386,307       =  | 25,058        =  | 430,964       -  | 78,867        =  | 7,250,515     +  |                  |       | 13  2   3   0   | 15* Хребет | 25.12.2021 11:35:05
386,307       =  | 25,058        =  | 427,444       -  | 78,867        =  | 7,257,329     +  |                  |       | 287 64  41  8   | 15* Хребет | 26.12.2021 00:32:56
386,307       =  | 25,058        =  | 423,924       -  | 78,867        =  | 7,273,393     +  |                  |       | 233 103 51  13  | 15* Хребет | 26.12.2021 10:04:20
386,307       =  | 25,058        =  | 419,739       -  | 78,867        =  | 7,280,866     +  |                  |       | 264 78  40  18  | 15* Хребет | 27.12.2021 12:03:40
386,307       =  | 25,058        =  | 417,240       -  | 78,867        =  | 7,290,841     +  |                  |       | 179 60  40  5   | 15* Хребет | 27.12.2021 16:47:04
386,307       =  | 25,058        =  | 413,720       -  | 78,867        =  | 7,297,387     +  |                  |       | 265 81  48  6   | 15* Хребет | 28.12.2021 11:37:58
386,307       =  | 25,058        =  | 410,288       -  | 78,867        =  | 7,311,690     +  |                  |       | 248 92  42  8   | 15* Хребет | 28.12.2021 17:55:45
386,307       =  | 25,058        =  | 406,768       -  | 78,867        =  | 7,318,680     +  |                  |       | 260 83  43  14  | 15* Хребет | 29.12.2021 00:46:57
386,307       =  | 25,058        =  | 403,248       -  | 78,867        =  | 7,331,336     +  |                  |       | 274 76  40  10  | 15* Хребет | 29.12.2021 10:37:29
386,307       =  | 25,058        =  | 399,728       -  | 78,867        =  | 7,345,739     +  |                  |       | 265 81  48  6   | 15* Хребет | 29.12.2021 22:18:09
386,307       =  | 25,058        =  | 398,320       -  | 78,867        =  | 7,343,904     -  |                  |       | 107 36  16  1   | 15* Хребет | 30.12.2021 00:53:51
386,307       =  | 25,058        =  | 394,800       -  | 78,867        =  | 7,356,058     +  |                  |       | 261 86  47  6   | 15* Хребет | 30.12.2021 10:38:36
386,307       =  | 25,058        =  | 391,280       -  | 78,867        =  | 7,369,707     +  |                  |       | 268 70  55  7   | 15* Хребет | 30.12.2021 22:17:25
386,307       =  | 25,058        =  | 387,760       -  | 78,867        =  | 7,374,423     +  |                  |       | 269 77  42  12  | 15* Хребет | 31.12.2021 12:23:00
386,307       =  | 25,058        =  | 384,240       -  | 78,867        =  | 7,381,632     +  |                  |       | 272 79  39  10  | 15* Хребет | 01.01.2022 02:45:22
386,307       =  | 25,058        =  | 380,720       -  | 78,867        =  | 7,394,807     +  |                  |       | 285 68  35  12  | 15* Хребет | 01.01.2022 12:26:02
386,307       =  | 25,058        =  | 379,823       -  | 78,867        =  | 7,398,715     +  |                  |       | 66  14  20  2   | 15* Хребет | 01.01.2022 14:05:58
386,307       =  | 25,058        =  | 376,303       -  | 78,867        =  | 7,403,546     +  |                  |       | 271 68  50  11  | 15* Хребет | 02.01.2022 00:51:14
386,307       =  | 25,058        =  | 372,783       -  | 78,867        =  | 7,417,813     +  |                  |       | 273 71  43  13  | 15* Хребет | 02.01.2022 13:18:29
386,307       =  | 25,058        =  | 369,633       -  | 78,867        =  | 7,430,571     +  |                  |       | 226 69  53  10  | 15* Хребет | 02.01.2022 19:05:56
386,307       =  | 25,058        =  | 362,593       -  | 78,867        =  | 7,454,225     +  |                  |       | 260 71  54  15  | 15* Хребет | 03.01.2022 11:25:55
386,307       =  | 25,058        =  | 357,102       -  | 78,867        =  | 7,476,578     +  |                  |       | 202 66  39  5   | 15* Хребет | 03.01.2022 21:24:56
